post_title,sku,short_descripcion,description,regular_price,sale_price,product_cat,images
"Huawei Mate 20 Lite, Negro",HA41,"Vive la experiencia Huawei con la serie Mate 20 Lite, dale la bienvenida a la inteligencia artificial. Con un diseño bonito y con un desempeño increíble. Vive tu contenido con una pantalla FullView de 6.3"" con una resolución FHD+ de 2340 x 1080. Experimenta colores reales con una elegancia y comodidad en tu mano.","Huawei Mate 20 Lite

Disfruta de Huawei Mate 20 Lite y sus increíbles funciones, inspirado en colores únicos y elegantes, diseñado para un uso y desempeño fuera de límites.
Procesador HiSilicon Kirin 710 de 12 nm

El procesador Octa - Core de 4 núcleos que corren a 2.2 GHz y 4 núcleos de 1.7 GHz y 12 nanómetros garantiza una respuesta increíble y fuída para un rendimiento inmersivo, ejecuta tus juegos favoritos y apps del momento sin problema alguno.
Zona de juegos

Optimiza y vive una experiencia diferente con la IA integrada, que permite asignar automáticamente sus recursos de forma dinámica y rápida, para que vivas mejor tus juegos sin interrupciones.


4 de RAM ideales para tus apps más demandadas del momento.
Pantalla FHD+ de 6.3""

br>Visualiza tus juegos y apps con una pantalla increíblemente grande de 6.3"" con una elegancia y comodidad única.
Velocidad Huawei GEO

Proporciona una conexión web rápida para descargar aplicaciones, transmitir contenido y mantenerse conectado con las redes sociales. No pierdas señal y mejora tu rendimiento incluso en túneles.
Cámara para selfies increíbles

Cuenta con una cámara de 24 + 2 MP con apertura de f/1.8 con embellecimiento automático para hacer de tus selfies increíbles efectos bokeh, usa las diferentes categorías y enfoques para una mayor luminosidad.
HDR pro

Cielo azul, noche, flor, planta, escena, etc. ||Con IA permite vistas previas en tiempo real de imágenes y grabaciones de HDR, con colores vívidos y reales incluso en entornos a contra luz.
Qmojis 3d

Personaliza tus mensajes con estos divertidos qmojis en 3D, imitando tu voz y expresiones faciales.
Cámara dual de 20 MP + 2 MP

Con apertura f/1.8, soporta autoenfoque PDAF y enfoque por contraste. Agrega un toque creativo a tus fotos con bokeh óptico, mientras que su IA proporciona optimizaciones para 22 categorías distintas basadas en el reconocimiento de objetos y escenas.
Sistema operativo Android Oreo 8.1

El mejor sistema operativo que te brinda un gran rendimiento al momento de ejecutar funciones y aplicaciones.
Almacenamiento interno de 64 GB

Ofrece una gran cantidad de espacio de almacenamiento para almacenar tus mejores momentos en fotos, videos, música, aplicaciones y mucho más.
Más energía por mucho más tiempo

Una enorme y potente batería que carga de forma segura y rápida, y mantiene su poder durante mucho más tiempo, con 3,750 mAh ideal para tu día a día y carga rápida HUAWEI.
Organización inteligente de fotos

Con la IA te permite organizar y acceder más fácilmente a tu galería de fotos.",7199,6999,Teléfonos y comunicaciones,"https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216033_sd.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216033_rd.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216033ld.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216033_bd.jpg"
"Huawei Mate 20, Azul",HA42,"Vive la experiencia Huawei con la serie Mate 20, dale la bienvenida a la inteligencia superior. Con un diseño bonito y con un desempeño increíble. Vive tu contenido con una pantalla FullView tan atractiva que es una belleza pura, de 6.53"" con una resolución FHD+ de 2244 x 1080 LCD(IPS). Experimenta colores reales con una elegancia y comodidad en tu mano. Captura una perspectiva más amplia e imponente, incluso con limitaciones de espacios reducidos, con el lente con ángulo superamplio Leica. Captura los detalles y objetos o tomas casi imposibles, con Huawei 20 lo podrás hacer, incluso hasta una distancia de 2.5 cm descubre y vive el mundo de la fotografía de una nueva forma.","Huawei Mate 20

Disfruta de Huawei Mate 20 y sus increíbles funciones, inspirado en colores únicos y elegantes, diseñado para un uso y desempeño fuera de límites.
Procesador Kirin 980 de 7 nm

El procesador Octa - Core de 2 núcleos que corren a 2.6 GHz y 2 núcleos de 1.92 GHz + 4 núclelos que corren a 1.8 GHz garantizan una respuesta increíble y fluída para un rendimiento inmersivo, ejecuta tus apps del momento sin problema alguno.
Zona de juegos

Optimiza y vive una experiencia diferente con la IA integrada, que permite asignar automáticamente sus recursos de forma dinámica y rápida, para que vivas mejor tus juegos sin interrupciones.


4 de RAM ideales para tus apps más demandadas del momento.
Pantalla FHD+ de 6.53""

Visualiza tus juegos y apps con una pantalla tan atractiva e inteligente.
Adiós a los cables

Proyectar presentaciones, juegos, videos en una segunda pantalla.

Con el modo PC envía mensajes o llamadas.
Triple cámara

Revela el drama, textura, color y belleza en cada captura.

Cuenta con un lente RGB de 12 MP para diferentes escenarios, captura cada detalle.

Con 8 MP puedes centrar tus fotografías incluso a distancia.

Con 16 MP del super ángulo amplio captura las mejores tomas de paisajes. Captura más allá de los límites.
IA en fotografías

Reconoce hasta 1500 escenarios y 25 categorías, ahora corrige el brillo, los colores y contrastes de forma automática y precisa.
No bajes el ritmo, incluso de noche captura los detalles

Con la función avanzada de estabilización de imagen IA , el modo nocturno te brinda detalles increíbles sin efecto borroso y con poca luz.
Qmojis 3d

Personaliza tus mensajes con estos divertidos qmojis en 3D, imitando tu voz y expresiones faciales.
Cámara dual de 20 MP + 2 MP

Con apertura f/1.8, soporta autoenfoque PDAF y enfoque por contraste. Agrega un toque creativo a tus fotos con bokeh óptico, mientras que su IA proporciona optimizaciones para 22 categorías distintas basadas en el reconocimiento de objetos y escenas.
Saca tu lado profesional para editar videos

Identifica rostros y crea los momentos más destacados del video, ahorra tiempo y espacio, HDR y relación de 21:9


Sistema operativo Android Oreo 8.1

El mejor sistema operativo que te brinda un gran rendimiento al momento de ejecutar funciones y aplicaciones.
Almacenamiento interno de 128 GB

Ofrece una gran cantidad de espacio de almacenamiento para almacenar tus mejores momentos en fotos, videos, música, aplicaciones y mucho más. (Amplía el almacenamiento con una Nano Sim hasta 512 GB.
Más energía por mucho más tiempo

Una enorme y potente batería que carga de forma segura y rápida, y mantiene su poder durante mucho más tiempo, con 4,000 mAh ideal para tu día a día y carga rápida HUAWEI.
Organización inteligente de fotos

Con la IA te permite organizar y acceder más fácilmente a tu galería de fotos.",16869,11689,Teléfonos y comunicaciones,"https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216249cv11a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216249cv12a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216249cv13a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216249cv14a.jpg"
Samsung - Galaxy S9 64 GB - Negro medianoche,HA43,"Con Samsung Galaxy S9 de AT&T toma fotos sin dudarlo a cualquier hora del día. Con un diseño delgado que facilita el manejo, este audaz teléfono inteligente ofrece disparos de calidad profesional a través de los ajustes manuales Pro Mode. La lente de doble apertura se ajusta a la luz, por lo que las imágenes se muestran con claridad en la pantalla de 5.8 pulgadas, mientras que Iris Scanner y Face Recognition brindan acceso instantáneo. Combinando una construcción confiable con una clasificación IP68 para resistir el daño del agua, este Samsung Galaxy S9 de AT&T captura cada aventura.","Contenido de extremo a extremo

Con Samsung Galaxy S9 disfruta más contenido en una pantalla que fluye continua y se adapta cómodamente a tu mano curvándose hacia los lados para ofrecerte una visión ilimitada con distracciones visuales mínimas.
Procesador Samsung Exynos 9810

El procesador Octa-core de hasta 2,8 GHz y 4 GB de RAM ofrecen un rendimiento general excepcional para abrir y ejecutar aplicaciones, revisar menús, ejecutar pantallas de inicio y más.
Pantalla táctil Quad HD + Super AMOLED de 5.8""

Obtenga colores brillantes, nítidos y reales. La pantalla Quad HD + Super AMOLED le brinda detalles cinemáticos con un hermoso contraste de colores en la palma de su mano. Con una resolución única de 2960 X 1440
Toma hermosas fotos con cualquier iluminación hasta 12 MP con f, 1.5 a 2.4

Su lente Dual Aperture se adapta como el ojo humano.

La cámara tiene dos modos de f-stop y la función Dual Aperture que se adapta automáticamente a luz brillante o poca luz, al igual que el ojo humano.

Además, expresa tu lado artístico cambiando la apertura para crear una atmósfera.
Más acción, menos fotos borrosas

Cuando estés en un trayecto lleno de baches, tus fotos saldrán nítidas gracias a la estabilización óptica de imagen (OIS).

Mantiene tus fotos claras aún si estás en movimiento.
Ajusta tu enfoque

Enfócate en lo que quieres. Live Focus en el Galaxy S9 te ayuda a enfocarte en tu sujeto al permitirte ajustar la cantidad de desenfoque de fondo en tu foto. Incluso puedes ver cómo se verá antes de tomar la foto.
Captura en 4K

Vaya más allá de Full HD con video 4K UHD. El Galaxy S9 toma videos 4K Ultra High Definition para que todo lo que captures se vea impresionante y vibrante.
Brillante en la oscuridad

Captura tus mejores momentos con claridad impresionante. Gracias al modo de apertura F1.7 y MP captura tus momentos acompañado o solo.
Conviértete en un emoji distinto a los demás

Crea una versión animada de ti mismo que refleje tu interior y después, envía tus mensajes con un emoji que imita tus movimientos y expresiones.

Sé la estrella del próximo éxito animado. Graba videos con tu emoji hablando, cantando o haciendo lo que quieras. Después, compártelo con tus amigos.
El siguiente nivel en cámara lenta

Dispara a una velocidad increíble 960 fotogramas por segundo, gracias a sus sensores de gran velocidad.

Demuestra tus habilidades como director con Super Slow-mo en videos o en momentos destacados.
Una pantalla. Dos aplicaciones

Programe dos aplicaciones para que se lancen juntas cada vez que las necesite. Con App Pair y un toque de su dedo, puede iniciar dos aplicaciones a la vez para usarlas una al lado de la otra en Infinity Display.
El dúo dinámico

Rodéate de la acción. Nuestra pantalla Infinity con pantalla de borde a borde y altavoces estéreo afinados por AKG brindan una experiencia de entretenimiento inmersiva.
Conquista los elementos

Con su calificación IP68, el Galaxy S9 es resistente al agua y al polvo, por lo que puede utilizarlo sin preocupaciones.
Nada te frena

Las mejoras de hardware de Galaxy S9 le permiten utilizar las mejores velocidades de red de su operador para transmitir y descargar contenido más rápido que antes.
Ideal para los amantes de la música

Disfruta de una experiencia increíble de Dolby Atmos con sonido rico, vibrante y una experiencia de audio como si estuvieras en el teatro, sonido puro de los altavoces estéreo calibrados por AKG.",18169,13999,Teléfonos y comunicaciones,"https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000211603cv11a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000211603cv12a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000211603cv13a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000211603cv14a.jpg"
"Apple - iPhone XS - 64 GB, Gris",HA44,"iPhone XS cuenta con una pantalla Súper Retina de 5,8"" OLED personalizados para una pantalla HDR que ofrece la mejor precisión de color de la industria, negros auténticos y un brillo notable. ID avanzado para desbloquear de forma segura, inicia sesión en aplicaciones y paga con solo un vistazo. El chip Bionic A12 con el motor neuronal de próxima generación usa el tiempo de aprendizaje automático en el tiempo real para transformar la forma en que se experimentan las fotos, los juegos, la realidad aumentada y más. Un sistema revolucionario de doble cámara de 12 MP, lleva tus retratos al siguiente nivel con el modo Retrato, la iluminación vertical, el bokeh mejorado y el nuevo control de profundidad. Resistencia al agua.² Con iOS 12, el sistema operativo móvil más avanzado, con nuevas y potentes herramientas que hacen que iPhone sea más personal que nunca.","Pantalla Super Retina de 5,8 pulgadas (OLED) con HDR
La pantalla tiene esquinas redondeadas. Cuando se mide como un rectángulo, la pantalla del iPhone XS mide 5,85"" en diagonal. El área visible real es menor.

IP68 resistente al polvo y al agua (profundidad máxima de 2 metros hasta 30 minutos)

Cámaras duales de 12 megapíxeles con doble cámara frontal OIS y cámara TrueDepth de 7 megapíxeles: modo retrato, iluminación vertical, control de profundidad y HDR inteligente

Face ID para autenticación segura y Apple Pay

A12 Bionic con el motor neuronal de próxima generación

Carga inalámbrica con cargadores Qi ||iOS 12 con Memoji, Screen Time, Siri Shortcuts y Group FaceTime",25199,24499,Teléfonos y comunicaciones,"https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216607_sd.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216607_rd.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216607ld.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216607_bd.jpg"
"Samsung - Galaxy S10e 128 GB, Azul",HA45,"Descubre, explora, conoce a la nueva generación de Samsung y reinventa tu celular, con Samsung Galaxy S10e tienes un celular que se destaca y se distingue por sí solo. Disfruta como nunca antes tu contenido, con una pantalla totalmente nueva y rediseñada para ti, dónde no hay límites, ni interrupciones ni bíseles que evitan disfrutar al 100 tu contenido multimedia, vive la experiencia de su pantalla Dynamic AMOLED. ¿Y que hay de la fotografía? Ahora puedes captar cada detalle de tu panorama, con una calidad cinematográfica única y renovada con un campo de visión de 123°. Potente y poderoso y un rendimiento de última generación totalmente única.","Un nuevo diseño que destacada y sobresale

Con Samsung S10e tienes todo lo que siempre necesitaste, incluso lo que no por dentro y por fuera, una experiencia ininterrumpida
Material que resiste y se siente bien al tacto

Elaborado con una material increíblemente resistente, que se vive y se siente bien al tacto, revestido por un marco de metal pulido, con un estilo que resalta y una pantalla de cristal resistente Gorilla 5.
Display Inteligente perfeccionada desde el pixel hacia arriba.

Aprovecha al máximo tu Infinity-O Display, revive y disfruta tu contenido en una pantalla sin bíseles ni distracciones para ofrecerte la mejor experiencia visual cinematográfica en una Dynamic AMOLED
Cinema-Grade Display

Con Dynamic AMOLED tienes una certificación HDR10+, que ofrece un mapeo de tonos dinámicos para lograr un color, contraste y brillo increíblemente reales en cada escena, incluso en las más oscuras o luminosas.

Eye Comfort Display que está diseñada para cuidar tu vista, se ajusta automáticamente a la luz sin cambiar el color de lo que está en pantalla.
A Samsung le gusta reinventar sus cámaras para fotografiar como todo un profesional

Extraordinaria cámara dual de 12 + 16 M, para capturar tus mejores momentos de día e incluso con poca luz.

Se ajusta automáticamente a la luz y optimiza la luz antes de capturar, con una apertura de F2.4 para crear fotos nítidas a plena luz del día y F.2.5 para captar más luz en escenas oscuras.

Captura imágenes a nivel profesional gracias a su cámara widescreen y software predictivo, conoce la función Super Steady para realizar videos sin interrupciones.

30 escenas para tus necesidades ... Modo rostro, bebé, persona, perro, gato, comida, gente, playas, cielo, montaña, atardecer, amanecer, ciudad, nieve, cascada, orillas de agua, paisaje, escenario, vehículos, bebidas, flores, árboles, verdor, animal, zapatos, interior, texto, ropa, noche
Super Slow-mo que prolonga los momentos más impresionantes

Graba a 960 cuadros por segundo reales con soporte HD. Incluso ahora puedes editar las secciones de tus videos en Super Slow-mo para crear una obra maestra en cámara lenta.
Live Focus que resalta lo que realmente importa

Utiliza tecnología avanzada para detectar personas, suavizar el fondo y ajustar la profundidad de campo para lograr tomas maravillosas. Incluso modificar filtros, incluso después de tomar la foto.
Un procesador increíble para una generación que no puede esperar de 8 núcleos, 2 de 1.9, 2 de 2.4 y 4 de 1.9GHz

AP Avanzado y un RAM con una mayor eficiencia usando menos batería y un procesador más inteligente, ejecuta las mejores apps y los mejores juegos incluso con muchos gráficos.
Optimizado para juegos

Gracias a su hardware podrás disfrutar del sistema de enfriamiento avanzado de tubo termosifón, cuenta con mejoras de rendimiento basadas en inteligencia artificial.
Batería inteligente que dura hasta 24 horas

Además su procesador analiza tus actividades del día a día y aprende de tus rutinas para simplificar tus tareas y tus patrones de uso, cuenta con modo ahorro de energía.
Power Share

Ahora con Samsung tienes el poder de compartir y cargar a otros dispositivos con tecnología Qi, es fácil de usar, solo necesitas colocar tu dispositivo encima de tu S10e.
Carga Inalámbrica 2.0

Gracias a la potencia de Fast Wireless Charging 2.0 cargarás tu celular de una forma increíblemente rápida, además cuenta con Turbo Cooling Fan que ayuda a mantener tu equipo en perfectas condiciones de temperatura.
Borra cuando tu lo decidas, no porque tu celular lo exija

Amplia tu almacenamiento con una micro SD(Se vende por separado) que ayuda a disfrutar de un mejor y mayor espacio de almacenamiento.
Disfruta como nunca el increíble sonido Dolby Atmos en tu música, videos, películas

Cuenta con altavoces estéreo AKG y Dolby Atmos que al combinarse, crear una experiencia similar a la cinematrográfica, disfruta de un audio tridimensional y una claridad con una simetría perfecta.
Certificación IP68 para que el agua no te detenga

Resistente al agua y al polvo para una experiencia todoterreno.
Seguridad encriptada

Samsung Knox que protege tu información en cada niel, integrado en el harware y software para una protección desde que enciendes tu celular, con seguridad multicapa para proteger tu información más confidencial.
Optimiza tu rutina con Bixby

Se adapta a tu estilo de vida, reduce la luz azul y activa el modo nocturno disminuyeel brillo de la pantalla para que puedas preparar tus ojos para dormir.

Duerme tranquilo, si te quedas dormido sin cargar tu smartphone, se desactivan las funciones innecesarias para ayudar a ahorrar batería. reproducen música cuando te subes a tu auto. También puedes personalizar tu Samsung según tus necesidades con la función Mi rutina.
Sugerencias de disparo para tomar fotografías increíbles

Cuenta con una bilioteca de más de 100 millones de escenas de alta calidad y sugerencias para lograr disparos y tomas con un aspecto realmente profesional. Dile adiós a las malas tomas, que son cosa del pasado.",16299,15999,Teléfonos y comunicaciones,"https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000217555_rd.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000217555ld.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000217555_bd.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000217555cv1d.jpg"
"Lenovo - TAB 3 730, Negro/Gris",HA46,"La tecnología Best Buy al instante! Conoce y llévate la Lenovo TAB 3 730, si estás buscando una tableta que sea lo suficientemente compacta para su uso en cualquier lugar y lo suficientemente versátil para multiples procesos, la Lenovo Tab3 es la opción ideal para juegos y videos, esta colorida tableta de 7 pulgadas, con cámara de 2 MP y memoria de 16 GB, con sistema operativo Android y una batería de 3450mAh.","Lenovo TAB 3 730

Ideal y compacta para llevarla a todos lados, disfruta de todas las características que te ofrece Lenovo con la TAB 3 730
Procesador MeditaTek MT8167D

Con el procesador MediaTek Quad-Core de 1.3 GHZ tendrás un rendimiento general exceptional para ejecutar tus apps favoritas.

1 GB de RAM para que tus procesos no sean lentos, ejecuta apps, estucha tu música favorita y navega por internet y tus apps favoritas.
Pantalla touch de 7""

Con la pantalla de 7"" visualizarás todas tus imágenes y fotos y una resolución de 1024 x 600.
Cámara de 2 MP

Captura tus mejores momentos con su cámara trasera de 2 megapíxeles
Sistema Operativo Android 7

Este es un sistema Operativo increíble que ayuda a que este equipo tenga el mejor rendimiento.
Almacenamiento de 16 GB

Almacena tus fotos, apps, juegos y música.
Batería de 3450mAh

Ejecuta tus apps y tareas a lo largo del día, ideal para seguir conectado por horas.",2999,2699,Teléfonos y comunicaciones,"https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000211045_sd.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000211045_rd.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000211045cv12d.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000211045cv14d.jpg"
"Apple - iPad Pro Wi- FI 256 GB 11"", Plata",HA47,"El increíble iPad Pro de 11 "" integra una avanzada pantalla Liquid Retina que va de borde a borde”. Face ID, para que puedas desbloquear de forma segura el iPad Pro, inicia sesión en tus apps y pagar con solo una mirada. El chip A12X Bionic es más rápido que muchas laptops y ejecutan fácilmente apps profesionales. Vida útil de la batería durante todo el día. Wi-Fi. Más de un millón de apps disponibles en la App Store, incluidas experiencias de realidad aumentada. Y el nuevo Apple Pencil y Smart Keyboard Folio te ayudan a ser aún más creativo y productivo.","Potente y eficiente

Con una arquitectura de 64 bits, un diseño de 4 núcleos y más de 3,300 millones de transistores, el iPad es increíblemente rápido. Toda esa potencia te permite editar un video 4K, divertirte con juegos de gráficos avanzados y disfrutar las últimas apps de VR.
Pantalla Liquid Retina. Tan espectacular como práctica

Te brinda una experiencia envolvente en todo lo que haces con el iPad.

Ya sea que estés armando un plan de negocios como pintando una obra maestra, la intensidad y claridad de la amplia pantalla es tan cautivadora que te darán ganas de tocarla. Por suerte, puedes hacerlo con toda tranquilidad.
Si tu iPad es multitasking, tú también

El poder del iPad te permite usar varias apps a la vez. Por ejemplo, puedes trabajar en un plan de negocios, navegar por Internet y llamar por FaceTime al mismo tiempo. Ser multitasking con el iPad es más fácil de lo que te imaginas.
La forma más envolvente de disfrutar la realidad aumentada

AR es una nueva tecnología que le da vida a objetos virtuales.

El iPad es ideal para disfrutarla porque muchas de sus características, como la pantalla RETINA, la potencia de procesamiento y los sensores de movimiento, fueron diseñadas especialmente para que la magia de las apps de AR sea más asombrosa que nunca.
Guarda en el iPad lo que está en tu cabeza

El iPad es siempre una gran herramienta para concretar tus ideas, y ahora te ofrece una nueva forma de hacerlas realidad.

El Apple Pencil te permite escribir notas, pintar con acuarelas o firmar un contrato con una precisión increíble y una gran velocidad de respuesta. Se siente tan natural como usar un lápiz, pero te brinda miles de posibilidades más.
Cámaras Multitasking

A las cámaras frontal y trasera también les encanta hacer muchas cosas: toman fotos increíbles y videos de gran calidad, escanean documentos, hacen llamadas FaceTime e incluso permiten diseñar un plano con realidad aumentada.
Teclado Bluetooth a tu talento para escribir

¿Necesitas escribir un trabajo de investigación, un email o el guión de una película? No hay problema. El iPad no sólo tiene un intuitivo teclado en pantalla, sino que también es compatible con cualquier teclado Bluetooth.
Lleno de poderosas apps integradas

Mezcla una canción con GarageBand, crea una presentación impactante en Keynote, o filma y edita un cortometraje con iMovie. El iPad incluye un conjunto de apps de Apple que están listas para trabajar con tu creatividad.
Delgado, ligero y resistente

Menos de 500 gramos de peso, 7.5 milímetros de grosor y un diseño resistente para que puedas llevarlo adonde quieras. Y adonde lo lleves, podrás lucirlo.
La mejor conexión

El iPad fue diseñado para que te mantengas conectado dondequiera que vayas.
Batería para todo el día

10 horas de batería en una sola carga. Con esta duración de la batería, el iPad te brinda más tiempo para navegar, escribir, dibujar, trabajar, comprar y todo lo que necesites hacer.
Si sabes deslizar un dedo, pellizcar y tocar, ya sabes usarlo

El iPad fue creado para usarse de manera intuitiva, incluso para los que no lo han usado antes. Los gestos Multi-Touch permiten buscar fotos, editar documentos y organizar archivos con sólo tocar la espectacular pantalla.",23599,22499,Teléfonos y comunicaciones,"https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216185cv11a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216185cv12a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216185cv13a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000216185cv14a.jpg"
"Lenovo - Tablet Yoga 10"" TAB 3 Proyector, Negro",HA48,Arriba el telón y disfruta del entretenimiento como nunca con la primer Tableta del mundo con proyector incorporado. Transforma cualquier pared o techo en una súper pantalla brillante de 70” y vive una experiencia de cine en casa. Comparta con amigos en una pantalla QHD de 10.1” y un audio sorprendente de 4 bocinas JBL integrado. Con hasta 18 horas de batería en una sola carga.,"Imágenes sorprendentes.

La pantalla QHD es perfecta para sumergirte en los juegos y en videos. También ofrece imágenes brillantes y nítidas.
Con tecnología Anypen.

La tecnología Lenovo AnyPen detecta cualquier objeto conductivo como si fuera un lápiz.  Eso es útil cuando estás usando tu tablet para tomar notas, dibujar..
Proyector integrado que rota.

Con proyector integrado que convierte cualquier habitación en tu propio cine. Utiliza la bisagra rotativa y un súper brillo de 50 lúmenes para proyectar una imagen hasta 70"" en cualquier pared.
Sonido envolvente.

Con excelente sonido tipo Home Theater que no podrás experimentar en ninguna otra tablet.  Los cuatro parlantes JBL integrados con orientación frontal.",13299,12499,Teléfonos y comunicaciones,"https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000204236cv11d.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000204236cv12d.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000204236cv13d.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000204236cv14d.jpg"
"Lenovo - Yoga Tab 3 8"" 850F - Negro",HA49,"El Tab3 850 te ofrece en un equipo de 8'' una magnifica movilidad junto con unas especificaciones increibles asi como unas perfectas características multimedia, como su cámara de 8 MP, memoria interna de 16 GB, RAM de 2 GB y sistema operativo Android 5.1.","Pantalla de 8""

Con la pantalla de 8"" visualizarás todas tus imágenes y fotos
Cámara de 8 MP

Captura tus mejores momentos con su cámara trasera de 8 megapíxeles para grandes fotos.
Sistema Operativo Android 5.1

Este es un sistema Operativo increíble que ayuda a que este equipo tenga el mejor rendimiento.
Almacenamiento de 16 GB

Para que puedas guardar tus fotos, música, juegos y documentos.",5299,4599,Teléfonos y comunicaciones,"https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000207660cv11d.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000207660cv12d.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000207660cv13d.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000207660cv15d.jpg"
"Huawei - Tab Media Pad T5 10.1"" - Negra",HA50,"Con un diseño ligero y una pantalla Vivid HD Full HD de 10.1"". Con un diseño premium y refinado. Su cuerpo de metal simétrico está hecho con cuidado y es elegante y liviano (aproximadamente 460 g), lo suficiente como para ser convenientemente portátil y fácil de sostener.","Huawei MediaPad T5

Disfruta de todas las caraterísticas que te ofrece la tablet de Huawei Media Pad T5.
Diseño ligero

Llévala siempre contigo gracias a su diseño liviano.
Pantalla Vivid HD Full HD de 10.1""

Con un diseño premium y refinado. Su cuerpo de metal simétrico está hecho con cuidado y es elegante y liviano (aproximadamente 460 g), lo suficiente como para ser convenientemente portátil y fácil de sostener.
Impresionante pantalla Full HD de 1080p

Con una pantalla de 10.1"" y una resolución 1920 X 1200 que brinda excelentes detalles. La relación de aspecto 16:10 lo hace perfecto para ver películas o programas de televisión y navegar por sitios web.
Procesador potente, rendimiento abrasador

El procesador Octa - Core con una frecuencia principal de hasta 2.36 GHz te brinda un gran rendimiento y consume menos energía.
Android rápido e intuitivo 8.0

br>Basado en Android 8.0, EMUI 8.0 está diseñado meticulosamente para una experiencia de usuario más suave, más inteligente e intuitiva. Sus aplicaciones se cargan más rápido y se ejecutan sin pausas inexplicables.
Altavoces duales, sonido inmersivo

Los altavoces duales producen audio robusto de alta calidad para su música favorita. La tecnología de audio HUAWEI Histen hace que el sonido sea más rico, brindándole una experiencia cinematográfica inmersiva.
Cuida tus ojos

El modo de comodidad visual reduce la luz azul dañina para crear condiciones de lectura saludables para usted y su familia.
Un rincón para los niños

Children's Corner ofrece un lugar divertido para que los niños jueguen y aprendan con muchas aplicaciones especialmente diseñadas.

Administra fácilmente las aplicaciones que sus hijos pueden usar y cuánto tiempo pasan en la tableta personalizando la configuración de acceso para sus pequeños.",5499,4499,Teléfonos y comunicaciones,"https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000217092cv11a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000217092cv12a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000217092cv13a.jpg,https://pisces.bbystatic.com/image2/BestBuy_MX/images/products/1000/1000217092cv14a.jpg"
